Movie Name,Movie Link,carflo ratings,hitchcockthelegend
Barry Lyndon,https://www.imdb.com/title/tt0072684/,8.1,NA
Sin City,https://www.imdb.com/title/tt0401792/,8.0,NA
Inception,https://www.imdb.com/title/tt1375666/,8.8,NA
The Hobbit: An Unexpected Journey,https://www.imdb.com/title/tt0903624/,7.8,NA
The Lake House,https://www.imdb.com/title/tt0410297/,6.8,NA
Miss Pettigrew Lives for a Day,https://www.imdb.com/title/tt0970468/,7.1,NA
Living Hell,https://www.imdb.com/title/tt0479201/,4.6,NA
The Whole Wide World,https://www.imdb.com/title/tt0118163/,7.1,NA
Moon of the Wolf,https://www.imdb.com/title/tt0068967/,5.0,NA
The 300 Spartans,https://www.imdb.com/title/tt0055719/,6.6,NA
Grizzly,https://www.imdb.com/title/tt0074593/,5.3,NA
Valdez Is Coming,https://www.imdb.com/title/tt0067921/,6.8,NA
The Skeptic,https://www.imdb.com/title/tt0493451/,5.6,NA
Iron Sky,https://www.imdb.com/title/tt1034314/,5.9,NA
Case 39,https://www.imdb.com/title/tt0795351/,6.2,NA
Penelope,https://www.imdb.com/title/tt0472160/,6.7,NA
Miss Potter,https://www.imdb.com/title/tt0482546/,6.9,NA
Citizen X,https://www.imdb.com/title/tt0112681/,7.6,NA
Mindhunters,https://www.imdb.com/title/tt0297284/,6.4,NA
The Hanging Tree,https://www.imdb.com/title/tt0052876/,7.1,NA
Love Never Dies,https://www.imdb.com/title/tt2243393/,6.9,NA
Mao's Last Dancer,https://www.imdb.com/title/tt1071812/,7.3,NA
Sometimes They Come Back,https://www.imdb.com/title/tt0102960/,5.8,NA
Satellite in the Sky,https://www.imdb.com/title/tt0049715/,5.4,NA
World Without End,https://www.imdb.com/title/tt0049964/,5.9,NA
"The Beast from 20,000 Fathoms",https://www.imdb.com/title/tt0045546/,6.7,NA
Les Misérables in Concert: The 25th Anniversary,https://www.imdb.com/title/tt1754109/,8.8,NA
Untraceable,https://www.imdb.com/title/tt0880578/,6.2,NA
Resident Evil,https://www.imdb.com/title/tt0120804/,6.7,NA
The Phantom of the Opera at the Royal Albert Hall,https://www.imdb.com/title/tt2077886/,8.8,NA
The Mole People,https://www.imdb.com/title/tt0049516/,4.9,NA
John Carter,https://www.imdb.com/title/tt0401729/,6.6,NA
The Relic,https://www.imdb.com/title/tt0120004/,5.8,NA
Cats,https://www.imdb.com/title/tt0173714/,7.6,NA
When Worlds Collide,https://www.imdb.com/title/tt0044207/,6.7,NA
Tales from the Crypt: Demon Knight,https://www.imdb.com/title/tt0114608/,6.7,NA
Cromwell,https://www.imdb.com/title/tt0065593/,6.9,NA
One-Eyed Jacks,https://www.imdb.com/title/tt0055257/,7.1,NA
Harry Potter and the Half-Blood Prince,https://www.imdb.com/title/tt0417741/,7.6,NA
Harry Potter and the Order of the Phoenix,https://www.imdb.com/title/tt0373889/,7.5,NA
Harry Potter and the Deathly Hallows: Part 1,https://www.imdb.com/title/tt0926084/,7.7,NA
Harry Potter and the Deathly Hallows: Part 2,https://www.imdb.com/title/tt1201607/,8.1,NA
Roman Holiday,https://www.imdb.com/title/tt0046250/,8.0,NA
Network,https://www.imdb.com/title/tt0074958/,8.1,NA
For a Few Dollars More,https://www.imdb.com/title/tt0059578/,8.3,NA
Unforgiven,https://www.imdb.com/title/tt0105695/,8.2,NA
Mr. Smith Goes to Washington,https://www.imdb.com/title/tt0031679/,8.1,NA
Gladiator,https://www.imdb.com/title/tt0172495/,8.5,NA
Daybreakers,https://www.imdb.com/title/tt0433362/,6.4,NA
Trick 'r Treat,https://www.imdb.com/title/tt0862856/,6.8,NA
Underdog,https://www.imdb.com/title/tt0467110/,4.7,NA
Kung Fu,https://www.imdb.com/title/tt0068093/,7.7,NA
V for Vendetta,https://www.imdb.com/title/tt0434409/,8.2,NA
The Man from Earth,https://www.imdb.com/title/tt0756683/,7.9,NA
Phase IV,https://www.imdb.com/title/tt0070531/,6.5,NA
The Company of Wolves,https://www.imdb.com/title/tt0087075/,6.7,NA
The Spitfire Grill,https://www.imdb.com/title/tt0117718/,7.0,NA
Beaches,https://www.imdb.com/title/tt0094715/,6.9,NA
Master and Commander: The Far Side of the World,https://www.imdb.com/title/tt0311113/,7.4,NA
The Lady Vanishes,https://www.imdb.com/title/tt0030341/,7.8,NA
The Farmer's Wife,https://www.imdb.com/title/tt0018876/,5.9,NA
River of No Return,https://www.imdb.com/title/tt0047422/,6.6,NA
Invitation to a Gunfighter,https://www.imdb.com/title/tt0058238/,6.3,NA
The Night of the Grizzly,https://www.imdb.com/title/tt0060754/,6.6,NA
Dead Space: Aftermath,https://www.imdb.com/title/tt1711366/,5.5,NA
Alias Smith and Jones,https://www.imdb.com/title/tt0066625/,7.6,NA
Jing wu ying xiong,https://www.imdb.com/title/tt0110200/,7.5,NA
Night of the Demons,https://www.imdb.com/title/tt1268809/,4.7,NA
Piranha,https://www.imdb.com/title/tt0078087/,5.9,NA
Hanna,https://www.imdb.com/title/tt0993842/,6.8,NA
The Bucket List,https://www.imdb.com/title/tt0825232/,7.4,NA
The Rite,https://www.imdb.com/title/tt1161864/,6.0,NA
It! The Terror from Beyond Space,https://www.imdb.com/title/tt0051786/,6.1,NA
